Index,timestamps,TP10
1,2024-12-15 21:03:19.151999950,-187.988
2,2024-12-15 21:03:19.167000055,-215.332
3,2024-12-15 21:03:19.183000088,-191.895
4,2024-12-15 21:03:21.763999939,-187.5
5,2024-12-15 21:03:21.767999887,-211.426
6,2024-12-15 21:03:21.779999971,-195.312
7,2024-12-15 21:03:21.783999920,-246.582
8,2024-12-15 21:03:21.799999952,-208.008
9,2024-12-15 21:03:24.532999992,-183.105
10,2024-12-15 21:03:27.247999907,-230.957
11,2024-12-15 21:03:27.250999927,-189.941
12,2024-12-15 21:03:27.263000010,-231.934
13,2024-12-15 21:03:27.266999959,-224.609
14,2024-12-15 21:03:27.279000044,-190.43
15,2024-12-15 21:03:27.282999992,-208.008
16,2024-12-15 21:03:30.013000011,-196.289
17,2024-12-15 21:03:30.028000116,-200.684
18,2024-12-15 21:03:30.032000065,-219.238
19,2024-12-15 21:03:30.048000097,-194.824
20,2024-12-15 21:03:32.364000082,-228.027
21,2024-12-15 21:03:32.378999949,-249.512
22,2024-12-15 21:03:32.382999897,-182.129
23,2024-12-15 21:03:32.394999981,-207.52
24,2024-12-15 21:03:32.398999929,-199.219
25,2024-12-15 21:03:34.628999949,-204.59
26,2024-12-15 21:03:34.644999981,-224.609
27,2024-12-15 21:03:34.648999929,-184.57
28,2024-12-15 21:03:36.894000053,-255.371
29,2024-12-15 21:03:36.898000002,-213.867
30,2024-12-15 21:03:36.905999899,-180.664
31,2024-12-15 21:03:36.910000086,-264.648
32,2024-12-15 21:03:36.914000034,-241.211
33,2024-12-15 21:03:36.926000118,-198.242
34,2024-12-15 21:03:36.928999901,-198.242
35,2024-12-15 21:03:38.910000086,-198.73
